date,price,bedrooms,grade,has_basement,living_in_m2,renovated,nice_view,perfect_condition,real_bathrooms,has_lavatory,single_floor,month,quartile_zone
26-09-2014,305000,2,1,FALSE,76.18046,FALSE,FALSE,TRUE,1,FALSE,TRUE,9,2
14-05-2014,498000,3,2,TRUE,210.88981,FALSE,FALSE,FALSE,2,TRUE,TRUE,5,2
23-03-2015,590000,2,4,FALSE,262.91549,FALSE,FALSE,FALSE,2,TRUE,FALSE,3,2
15-07-2014,775000,3,3,FALSE,159.79316,FALSE,FALSE,FALSE,1,TRUE,FALSE,7,3
14-04-2015,350000,2,1,FALSE,92.903,FALSE,FALSE,FALSE,1,TRUE,TRUE,4,3
08-05-2015,399000,2,2,FALSE,201.59951,FALSE,FALSE,FALSE,1,TRUE,TRUE,5,1
15-10-2014,325000,1,2,FALSE,94.76106,FALSE,FALSE,FALSE,1,TRUE,FALSE,10,3
15-07-2014,250000,3,2,TRUE,177.44473,FALSE,FALSE,FALSE,2,TRUE,TRUE,7,1
25-02-2015,445000,3,2,FALSE,360.46364,FALSE,FALSE,FALSE,3,FALSE,FALSE,2,2
01-07-2014,459500,1,2,TRUE,116.12875,FALSE,FALSE,FALSE,1,FALSE,TRUE,7,3
25-03-2015,292500,2,2,FALSE,194.631785,FALSE,FALSE,FALSE,2,TRUE,FALSE,3,1
24-04-2015,172500,1,1,TRUE,140.28353,FALSE,FALSE,FALSE,2,FALSE,TRUE,4,2
14-05-2014,372977,2,3,TRUE,157.00607,FALSE,FALSE,FALSE,2,TRUE,FALSE,5,3
29-08-2014,452000,1,1,TRUE,113.34166,FALSE,FALSE,FALSE,1,FALSE,TRUE,8,2
09-10-2014,500000,2,3,TRUE,160.72219,FALSE,FALSE,FALSE,2,TRUE,TRUE,10,4
19-01-2015,250000,3,2,TRUE,203.45757,FALSE,TRUE,FALSE,1,TRUE,TRUE,1,1
19-08-2014,790000,3,3,TRUE,208.10272,FALSE,FALSE,TRUE,2,TRUE,TRUE,8,4
06-06-2014,160000,2,1,FALSE,112.41263,TRUE,FALSE,FALSE,1,FALSE,TRUE,6,3
06-10-2014,529950,1,3,TRUE,139.3545,FALSE,FALSE,FALSE,2,TRUE,FALSE,10,3
18-09-2014,248000,2,2,TRUE,136.56741,FALSE,FALSE,FALSE,1,FALSE,TRUE,9,1
27-05-2014,450800,3,4,FALSE,233.18653,FALSE,FALSE,FALSE,3,TRUE,FALSE,5,2
09-04-2015,550000,2,3,FALSE,174.65764,FALSE,FALSE,FALSE,2,TRUE,FALSE,4,4
18-03-2015,200450,2,1,FALSE,90.11591,FALSE,FALSE,FALSE,1,FALSE,TRUE,3,1
12-05-2015,347000,2,2,FALSE,156.07704,FALSE,FALSE,FALSE,2,TRUE,FALSE,5,2
24-06-2014,295000,2,2,TRUE,185.806,FALSE,FALSE,FALSE,1,TRUE,TRUE,6,2
06-02-2015,557510,3,2,FALSE,146.78674,FALSE,TRUE,FALSE,2,FALSE,FALSE,2,3
15-10-2014,730000,3,4,FALSE,271.27676,FALSE,FALSE,FALSE,2,TRUE,FALSE,10,4
19-02-2015,420000,3,3,TRUE,272.20579,FALSE,FALSE,FALSE,2,TRUE,TRUE,2,1
25-02-2015,524950,2,2,TRUE,250.8381,TRUE,FALSE,FALSE,1,TRUE,FALSE,2,2
14-04-2015,579950,3,3,TRUE,267.56064,FALSE,FALSE,TRUE,2,TRUE,TRUE,4,1
15-09-2014,796000,2,3,FALSE,183.94794,FALSE,FALSE,FALSE,1,FALSE,FALSE,9,4
14-04-2015,435000,2,2,FALSE,117.98681,FALSE,FALSE,FALSE,2,FALSE,TRUE,4,2
02-06-2014,939000,3,4,FALSE,303.79281,FALSE,FALSE,FALSE,2,TRUE,FALSE,6,4
16-10-2014,305000,1,2,FALSE,104.05136,FALSE,FALSE,FALSE,1,TRUE,FALSE,10,3
20-10-2014,320000,3,3,FALSE,206.523369,FALSE,FALSE,FALSE,2,TRUE,FALSE,10,1
05-01-2015,299950,3,2,TRUE,168.15443,FALSE,FALSE,FALSE,2,TRUE,TRUE,1,1
11-06-2014,248000,3,2,FALSE,140.28353,FALSE,FALSE,FALSE,1,TRUE,TRUE,6,1
07-08-2014,612000,3,2,TRUE,248.98004,FALSE,TRUE,FALSE,2,TRUE,FALSE,8,3
20-06-2014,547000,3,2,TRUE,204.3866,FALSE,FALSE,TRUE,2,TRUE,FALSE,6,3
26-02-2015,284000,2,3,TRUE,199.74145,FALSE,FALSE,FALSE,2,TRUE,TRUE,2,1
21-10-2014,266500,2,2,TRUE,161.65122,FALSE,FALSE,FALSE,2,TRUE,TRUE,10,2
02-04-2015,598000,3,2,TRUE,224.82526,FALSE,TRUE,TRUE,2,TRUE,FALSE,4,2
08-01-2015,329500,3,2,TRUE,305.65087,FALSE,FALSE,FALSE,1,TRUE,TRUE,1,1
19-08-2014,428000,2,2,FALSE,146.78674,FALSE,TRUE,FALSE,1,TRUE,TRUE,8,1
25-11-2014,790000,2,3,FALSE,190.45115,FALSE,FALSE,FALSE,1,TRUE,FALSE,11,4
11-07-2014,601000,3,3,FALSE,194.16727,FALSE,FALSE,FALSE,2,TRUE,FALSE,7,3
15-04-2015,550000,2,3,FALSE,155.14801,FALSE,FALSE,FALSE,1,TRUE,TRUE,4,4
03-09-2014,449000,2,2,FALSE,157.00607,FALSE,FALSE,FALSE,2,TRUE,FALSE,9,4
13-04-2015,1075000,3,4,TRUE,261.98646,FALSE,TRUE,FALSE,2,TRUE,FALSE,4,3
14-04-2015,765000,2,3,FALSE,213.6769,TRUE,TRUE,FALSE,2,TRUE,FALSE,4,4
09-12-2014,398500,3,4,FALSE,261.98646,FALSE,FALSE,FALSE,2,TRUE,FALSE,12,2
24-03-2015,540000,2,3,FALSE,206.24466,FALSE,FALSE,FALSE,2,TRUE,FALSE,3,1
15-04-2015,1062000,3,3,TRUE,252.69616,FALSE,TRUE,TRUE,2,TRUE,FALSE,4,3
04-12-2014,385000,3,2,FALSE,244.33489,FALSE,FALSE,FALSE,2,TRUE,FALSE,12,1
07-02-2015,270000,2,3,FALSE,168.15443,FALSE,FALSE,FALSE,2,TRUE,FALSE,2,1
02-12-2014,290000,1,2,FALSE,83.6127,FALSE,FALSE,FALSE,1,FALSE,FALSE,12,3
15-04-2015,189950,1,3,FALSE,95.69009,FALSE,FALSE,FALSE,1,FALSE,TRUE,4,2
11-08-2014,269950,3,2,TRUE,191.38018,FALSE,FALSE,FALSE,2,TRUE,TRUE,8,1
03-04-2015,800000,3,3,FALSE,196.95436,FALSE,FALSE,FALSE,2,TRUE,FALSE,4,3
15-05-2014,263000,2,2,FALSE,147.71577,FALSE,FALSE,FALSE,2,TRUE,FALSE,5,1
27-04-2015,543000,2,2,FALSE,158.86413,FALSE,TRUE,FALSE,1,TRUE,FALSE,4,3
16-05-2014,620000,2,2,TRUE,159.79316,FALSE,FALSE,FALSE,2,TRUE,FALSE,5,4
25-06-2014,245000,2,2,FALSE,130.99323,FALSE,FALSE,FALSE,2,FALSE,TRUE,6,1
30-04-2015,270950,1,1,FALSE,72.46434,FALSE,FALSE,FALSE,1,FALSE,TRUE,4,1
18-06-2014,580000,3,3,FALSE,301.93475,FALSE,FALSE,FALSE,2,TRUE,FALSE,6,2
19-12-2014,296500,2,2,FALSE,146.78674,FALSE,FALSE,FALSE,1,TRUE,TRUE,12,1
21-07-2014,427000,2,2,TRUE,185.806,FALSE,FALSE,FALSE,1,TRUE,TRUE,7,3
20-07-2014,1050000,2,5,TRUE,322.37341,FALSE,TRUE,FALSE,2,TRUE,FALSE,7,4
08-07-2014,232000,2,2,FALSE,135.63838,FALSE,FALSE,FALSE,1,TRUE,TRUE,7,1
17-11-2014,357000,2,2,FALSE,127.27711,FALSE,FALSE,FALSE,1,FALSE,TRUE,11,2
19-02-2015,325000,2,2,TRUE,120.7739,FALSE,FALSE,FALSE,1,FALSE,TRUE,2,2
